date,incident_count
2022-06-26,1
2022-07-08,1
2025-01-24,1
2025-01-25,1
2025-01-27,1
2025-03-17,1
2025-05-01,1
2025-06-10,1
2025-07-13,1
2025-07-17,2
2025-08-03,1
2025-08-07,1
2025-08-11,1
2025-08-13,1
2025-08-14,1
2025-08-21,1
2025-09-01,1
2025-09-02,2
2025-09-05,1
2025-09-08,1
2025-09-09,1
2025-09-26,1
2025-10-06,1
2025-10-08,1
2025-10-15,1
2025-10-28,1
2025-11-07,2
2025-11-11,1
2025-11-21,1
2025-11-25,1
2025-11-26,1
2025-12-03,1
2025-12-10,1
2025-12-31,1
2026-01-06,1
2026-01-30,1
2026-02-10,1
2026-02-11,1
2026-02-12,2
2026-02-19,2
2026-03-04,1
2026-03-09,8
2026-03-10,7
2026-03-11,1
2026-03-12,1
2026-03-13,1
2026-03-16,1
2026-03-18,1
2026-03-19,2
2026-03-23,2
2026-03-27,1
2026-04-01,2
2026-04-02,1
2026-04-05,1
2026-04-06,2
2026-04-26,2
2026-04-28,1
2026-05-12,1
2026-05-15,1
2026-05-17,2
2026-05-19,1
2026-05-20,2
2026-05-22,1
2026-05-24,1
2026-05-27,1
2026-05-29,2
2026-06-03,1
2026-06-04,1
2026-06-05,1
2026-06-09,1
2026-06-13,1
2026-06-15,3
2026-06-16,1
2026-06-17,1
2026-06-18,10
2026-06-19,4
2026-06-20,4
2026-06-21,7
2026-06-22,8
2026-06-23,1
2026-06-24,8
2026-06-25,9
2026-06-26,45
2026-06-27,102
